Teks,label,Teks_bersih
"Ass, Sy Randy. Mengenai mobil yg sdh sy liat kondisi'y , kebetulan kami berminat. Mohon hub Bapa sy utk dibicarakan hrg netnya; Dr.H.DARMAWAN 0812xxxxxxx",1,ass sy randy kena mobil yg sdh sy liat kondisiy betul minat mohon hub bapa sy utk bicara hrg net drhdarmawan xxxxxxx
"Ass,maaf sy WAHYU.mengenai Mobil bpk yg mau di jual sy sudah lihat dan cocok, Untuk nego hrg silahkan Hub saudara sy di 081219550857 dgn pak JUSMAN SAFEI (TP)",1,assmaaf sy wahyumengenai mobil bpk yg mau jual sy lihat cocok nego hrg silah hub saudara sy dgn pak jusman safei tp
Ass. Maaf sy by hj.suri yang kemarin survey rumah anda. Mengenai harga bisa hub suami saya H. SIGIT tlp 081316005639.terima kasih,1,ass maaf sy by hjsuri kemarin survey rumah kena harga hub suami sigit tlp terima kasih
"Ass.sy SUGIYONO yg tempo hari mngenai mobil TOYOTANYA,sy brminat,cocok,tlong hub sodara sy dlu,untuk negosiasi harganya. A/N;ABDULLAH HP;081389909777",1,asssy sugiyono yg tempo hari mngenai mobil toyotanyasy brminatcocoktlong hub sodara sy dluuntuk negosiasi harga anabdullah hp
"Assalamu alaikum,saya RESKI dr Costumer Servis TRI PLAZA SEMANGGI lt.1 JL.jend sudirman jkt pst sdh m-hubungi anda waktu pengundian di lakukan tapi no.anda tdk tersambung, jd kami krimkn lwt SMS sebelum jatuh tempo, bahwa no.anda menang undian dr TRI 2014 jenis hadiah 1unit mobil SUZUKI ERTIGA NEW,dengan PIN 2D45CS77, jadi silahkan cek terlebih dahulu di website; www.tricare.jimdo.com /hub; 021-40161777 / 08994179888 ",1,assalamu alaikumsaya reski dr costumer servis tri plaza semanggi lt jljend sudirman jkt pst sdh mhubungi waktu undi laku noanda tdk sambung jd krimkn lwt sms jatuh tempo noanda menang undi dr tri jenis hadiah unit mobil suzuki ertiga newdengan pin dcs jadi silah cek lebih website wwwtricarejimdocom hub
"Assalamu alaiqum, nenek masuk rumah sakit tolong kirimkan dulu ulsa 50 ribu di nomor ini 0852 3173 7479, mau telpon nanti di rumah sakit saya ganti uangnya.",1,assalamu alaiqum nenek masuk rumah sakit kirim dulu ulsa ribu nomor mau telpon rumah sakit ganti uang
ayah isikan pulsa xl 50rb di no 0818643929 sekarang penting,1,ayah isi pulsa xl rb no sekarang penting
"Bapak tukokno pulsa AS ndisek 20ribu iki nmrku anyar 085316079211 cepet saiki tak enteni,penteng bpk ada msalah dikantor polisi,jangan dulu sms/tlp",1,bapak tukokno pulsa as ndisek ribu iki nmrku anyar cepet saiki tak entenipenteng bpk msalah kantor polisijangan dulu smstlp
"BELANJA ONLINE Promo Disc 50% BB Dakota 2,8jt BB Onyx3 2,2jt BB Z10 3,5jt DLL, Info/sms: 085775102735 PIN:BB.2A03F3F2 Atau Klik: www.jaya-olshop.blogspot.com",1,belanja online promo disc bb dakota jt bb onyx jt bb jt infosms pinbbaff klik wwwjayaolshopblogspotcom
BELANJA ONLINE TOKO RESKY DISCON 50% BB LAPTOP SAMSUNG IPAD NOKIA DLL U/pemesanan/order  call/sms 085322222699 kunjungi web kami di www.reskiy-shop.blogspot.com,1,belanja online toko resky discon bb laptop samsung ipad nokia upemesananorder callsms kunjung web wwwreskiyshopblogspotcom
Belikan dulu mama pulsa simpati 20 ribu ini nomor barunya mama 081223052854. kalau bisa kirim sekarang secepatnya penting. Ini hpnya orang mama pinjam,1,belikan dulu mama pulsa simpati ribu nomor baru mama kalau kirim sekarang cepat penting hpnya orang mama pinjam
"Bella bingung bang mau nulis apa, daripada aq nulis panjang2 tapi serba salah, mending langsung ngobrol di tlpn aja deh bang ini no telp aq 0809-100-xxxx :)",1,bella bingung bang mau nulis apa aq nulis panjang serba salah mending langsung ngobrol tlpn aja deh bang no telp aq xxxx
"berkah 1000 poin"" Nomor Anda mndpt Hadiah ke-I Pin d377hi8, silahkan verifikasi Pin Pemenang di situs resmi www.berkah1000poin.wix.com/prize",1,berkah poin nomor mndpt hadiah kei pin dhi silah verifikasi pin menang situs resmi wwwberkahpoinwixcomprize
"Berkat isi ulang pulsa No anda T,pilih sbg pemenang Cek tunai Rp.75jt dri PT.M-KIOS PIN:(5N939F7) U/INFO KLIK www.pt-mkios15.blogspot.com",1,berkat isi ulang pulsa no tpilih sbg menang cek tunai rpjt dri ptmkios pinnf uinfo klik wwwptmkiosblogspotcom
Berkat isi ulang pulsa No Anda Terpilih sbg Pemenang kejutan tri Men-dpt cek TUNAI 100jt dr PLANET-3CARE PIN:b8337h9 cek hadiah anda di www.planet-3care2015.blogspot.com,1,berkat isi ulang pulsa no pilih sbg menang kejut tri mendpt cek tunai jt dr planetcare pinbh cek hadiah wwwplanetcareblogspotcom
"BIG SALE !!! DISCOUND 40% Z10-4,4jt IPHONE 5 32GB-3,7jt S.NOTE 2-3,8jt CAMERA, LAPTOP dll PIN BB 28AB8391 Call/sms: 0897-9844-777 Kunjungi www.indracell.com",1,big sale discound zjt iphone gbjt snote jt camera laptop pin bb ab callsms kunjung wwwindracellcom
"BIG SALE 50% SINAR Blackberry -Z10 Rp.3,8jt -Dakota Rp 2,8jt -Tourch Rp 2jt -Davis Rp950 rb Infohub/sms: -089664054777 -297CCFA7 www.snr-bb.blogspot.com",1,big sale sinar blackberry rpjt dakota rp jt tourch rp jt davis rp rb infohubsms ccfa wwwsnrbbblogspotcom
"Blackberry City Jual Blackberry Discond 40% Dakota 2,5jt Torch2 2,2jt Onyx3 2,1jt Davis 1,3jt Gemini 3G 1,1jt U/info Hub: Ibu.Anita 081315277257 PIN BB:29762D76",1,blackberry city jual blackberry discond dakota jt torch jt onyx jt davis jt gemini jt uinfo hub ibuanita pin bbd
"BLACKBERRY ONLINE BIG SAL 50% BB Z10 Rp. 4 jt DAKOTA Rp.2,8 jt Samsung note II Rp. 3 jt Iphone 5 16GB Rp. 3jt Laptop,camera&DLL Minat, Invite to BBM PIN : 25A4FF8C",1,blackberry online big sal bb rp jt dakota rp jt samsung note ii rp jt iphone gb rp jt laptopcameradll minat invite to bbm pin affc
Bpk/Ibu Mengenai Rekening Anda Terpilih Sebagai Pemenang  Cek 35jt Dri BNI U/Info klik www.promobni46.tk Kode Cek 03299757 Hub.085288991559,1,bpkibu kena rekening pilih menang cek jt dri bni uinfo klik wwwpromobnitk kode cek hub
"Bpk/Ibu Yth, Pemilik No.08994150xxx PIN Undian:4881247 Resmi m-dptkan Rp.15jt Cs: 02199545139 atau Klik: 3care2016.com",1,bpkibu yth milik noxxx pin undi resmi mdptkan rpjt cs klik carecom
"BPR SYARIAH di Yogya siap melayani pembiayaan usaha anda.syarat:copy KTP,KK,Buku Nikah, cukup dg jaminan bpkb.sertipikat,proses survey cepat hub: 082133271400",1,bpr syariah yogya siap layan biaya usaha andasyaratcopy ktpkkbuku nikah cukup dg jamin bpkbsertipikatproses survey cepat hub
"Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1,35% Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001",1,butuh dana tunai cepat juta dgn bunga rendah flatbln proses jamin hari syarat mudah info ibu yani
CAHAYA TRAVEL TIKET Murah & promo untuk penerbangan Domestic & Internasional ONLINE BOOKING 24 jam hub 081310537888 kelik www.cahayatourtravel.com,1,cahaya travel tiket murah promo terbang domestic internasional online booking jam hub kelik wwwcahayatourtravelcom
"Casino online terbesar, www.jayabet4.com , daftarkan diri+ Raih bonus referral+ bonus cashback sportsbook 0.25% setiap minggu. Mainkan di Smartphone dan PC anda",1,casino online besar wwwjayabetcom daftar diri raih bonus referral bonus cashback sportsbook minggu main smartphone pc
Dapatkan E-TICKET Promo untuk penerbangan DOMESTIK & INTERNASIONAL melalui Via Online mudah & aman. Hub ; 085285485509 klick. www.mhegatravel.com,1,dapat eticket promo terbang domestik internasional lalu via online mudah aman hub klick wwwmhegatravelcom
Dapatkan e-Tiket Murah & Promo Untuk Penerbangan Domestic & International BOOKING ONLINE Info Hub: 085216181177 www.surya-travel.jimdo.com,1,dapat etiket murah promo terbang domestic international booking online info hub wwwsuryatraveljimdocom
"Dapatkan Segera TIKET Murah & Promo DiTRAVEL Kmi,Untuk Penerbangan Domestik & Internasional ONLINE BOOKING 24 Jam Anda Berminat Hub:085318303276",1,dapat segera tiket murah promo ditravel kmiuntuk terbang domestik internasional online booking jam minat hub
dapatkan total hadiah ratusan juta rupiah di Kota 1000 Berkah. Caranya? Klik www.murahituim3.com/kota1000berkah Program s.d 9 Agustus 2013,1,dapat total hadiah ratus juta rupiah kota berkah cara klik wwwmurahituimcomkotaberkah program sd agustus
Daptkn e-TIKET pesawat PROMO melayani Domestik and internasional booking ONLINE cepat & aman hub: 085217845777/082310204777 Link www.citiling-travel.com,1,daptkn etiket pesawat promo layan domestik and internasional booking online cepat aman hub link wwwcitilingtravelcom
"De inih bapa pake no temen, tolong kirimin pulsa ke no inih soalnya penring banget, nanti di rumah digantiin",1,de inih bapa pake no temen kirimin pulsa no inih soal penring banget rumah digantiin
"Di sini saja uangnya ditransfer ke rek Bank xxx (4413-0100-0226-XXX) A/N xxx, kalau sudah SMS di no ini 085215113xxx",1,sini uang transfer rek bank xxx xxx an xxx kalau sms no xxx
"Di transfer saja Uang'nya ke rekening BNI ini, a/n. ISMAWATI. Rek: 0248147033. SMS saja klo sdh kirim.",1,transfer uang rekening bni an ismawati rek sms klo sdh kirim
"Dijual ticket SUPER JUNIOR TGL 28/29 APRIL dan LADY GAGA TGL 03 JUNI harga Gold=2,25jt tribun3=1,25jt info hub;0853-9937-1888 lady-ticket.webs.com",1,jual ticket super junior tgl april lady gaga tgl juni harga goldjt tribunjt info hub ladyticketwebscom
Dptkan e-tiket Promo Untuk Penerbangan Domestic & Internasional Booking ONLINE 24 jam Info Hub : 081316899123,1,dptkan etiket promo terbang domestic internasional booking online jam info hub
"Gebyar poin plus-plus INDOSAT Edisi 2013 priode ke'9, No PIN undian anda (d377hi8) Resmi meraih hadiah, utk info; www.gebyarINDOSATpoinplus.weebly.com",1,gebyar poin plusplus indosat edisi priode no pin undi dhi resmi raih hadiah utk info wwwgebyarindosatpoinplusweeblycom
GEBYAR telkomselpoin 2013 no anda trpilih pemenang ke-4 pin 277fg49 silahkan verifikasi pin anda disitus resmi www.t-selpoinhadiah.jimdo.com,1,gebyar telkomselpoin no trpilih menang pin fg silah verifikasi pin situs resmi wwwtselpoinhadiahjimdocom
"Gratis 120 menit Nelpon ke Sesama Indosat, 120 SMS ke Sesama Indosat&12 MB Internet slma 12 JAM tiap Isi Ulang 12 Rb.IsiUlang pulsamu 12Rb &Nikmati GRATISANnya",1,gratis menit nelpon sama indosat sms sama indosat mb internet slma jam tiap isi ulang rbisiulang pulsa rb nikmat gratis
GRATIS 50 SMS ke sesame indosat selama 2 hari. Hanya dengna mengirimkan 50 SMS selama 10-16 Juni 2013. Bonus 1x diberikan maks 2x24jam. Info 100. US6,1,gratis sms sesame indosat lama hari dengna kirim sms lama juni bonus beri maks xjam info us
GRATIS internetan 5MB berlaku utk 7 hari hanya dg isi ulang AXISmu hari ini Rp5.000. Ayo isi ulang sekarang juga & nikmati bonusnya. Info838,1,gratis internetan mb laku utk hari dg isi ulang axismu hari rp ayo isi ulang sekarang nikmat bonus info
"GRATIS Internetan hg 1000 MB, Nelpon 1000 Menit & 1000 SMS ke Sesama Indosat dg IsiUlang mulai 10Rb.Utk daftar ketik GRATIS kirim ke 123 (GRATIS) lalu isi Ulang",1,gratis internetan hg mb nelpon menit sms sama indosat dg isiulang mulai rbutk daftar ketik gratis kirim gratis lalu isi ulang
"GRATIS PULSA hingga 250rb selama 7Hari 7Malam CUMA dg isi ulang mulai 10rb. Daftar SEGERA, ketik: GRATIS krm ke123(Reg ckp 1kali)Info: ketik INFO krm ke 123",1,gratis pulsa hingga rb lama hari malam cuma dg isi ulang mulai rb daftar segera ketik gratis krm kereg ckp kaliinfo ketik info krm
"GT-SHOP Disc.41% BB Z10 3jt BB Torch 2jt BB Davis 1jt Minat? Galaxy S4 3,5jt Cp.08994352577 Pin.25A1785B Gili-SMS versi Demo. Http://www/yusiwa.com",1,gtshop disc bb jt bb torch jt bb davis jt minat galaxy jt cp pinab gilisms versi demo httpwwwyusiwacom
Guntur ingin berhubungan di Facebook:http://fb.com/l.1lnzH4p0lCM7ruG Balas “stop” unruk berhenti menerima sms Facebook.,1,guntur hubung facebookhttpfbcomllnzhplcmrug balas  stop  unruk henti terima sms facebook
Hi Trims kmu udh gabung layanan Bung Gita Bicara Bola!Dpt info menarik n Prediksi Akurat dr Bung Gita! 3info/mg 2rb/sms.Stop: unreg Gita ke 3450.CS:0215649770,1,hi trims kmu udh gabung layan bung gita bicara boladpt info tarik prediksi akurat dr bung gita infomg rbsmsstop unreg gita cs
"HQUARTERS Business Residence Lokasi Emas-ASIA AFRIKA Bdg Hrg Prelaunch,PROFIT 140%,ROI 10%/thn Bs LIBUR Byr 2Th TSM 21Des-3Jan www.hquarters.co.id 085794074188",1,hquarters business residence lokasi emasasia afrika bdg hrg prelaunchprofit roi thn bs libur byr th tsm desjan wwwhquarterscoid
"INDOMARCOCELL Menawarkan jdi agenPULSA MKIOS 1CHIP ke semua Oprator harga; V.5=4000, V.10=8000, V.20=16000, Cara gabung ketik:DAFTAR kirim ke 08977628977 #Melukiskan rasa ku tentang kita..",1,indomarcocell tawar jdi agenpulsa mkios chip semua oprator harga cara gabung ketikdaftar kirim lukis rasa ku
INDOSATpoin Plus-plus 2013 SELAMAT SimCard +6281571xxxx Resmi Terpilih M-dpt HADIAH Pin-b89c7h9-di Sahkan Oleh PT.INDOSAT info klik www.infoindosatpoin.webs.com,1,indosatpoin plusplus selamat simcard xxxx resmi pilih mdpt hadiah pinbchdi sahkan ptindosat info klik wwwinfoindosatpoinwebscom
"INDOVISON PROMO: hanya 299 rbu, nikmati 2 bln berlangganan, GRATIS biaya pasang+bonus cinema 3 (3bln). hub : 087738718255, 08555796717 PIN BB 32F1C805",1,indovison promo rbu nikmat bln langgan gratis biaya pasangbonus cema bln hub pin bb fc
"INFO PT.M-KIOS hsil pengundian berkat isi pulsa, Selamat No.HP 0852952xxxxx m-dpt Hadiah PIN Pemenang anda 94ad653 Info klik www.berkat-isiulang-pulsa.webs.com",1,info ptmkios hsil undi berkat isi pulsa selamat nohp xxxxx mdpt hadiah pin menang ad info klik wwwberkatisiulangpulsawebscom
INFO RESMI !! Selamat Anda Terpilih sbgi Pemenang' semarak Undian PT.INDOFOOD INDONESIA No pin: d377hi8 Info Pin&hadiah Klik:www.semarak-undianpopmie.webs.com,1,info resmi selamat pilih sbgi menang semarak undi ptindofood indonesia no pin dhi info pinhadiah klikwwwsemarakundianpopmiewebscom
INFO RESMI kepada bpk/ibu yang terhormat SELAMAT No ANDA Pemenang ke 2dari pesta isi ulang 3care No PIN:25e477r di undi tadi malam pkl 22:30 di SCTV U/info hadiah anda klik Www.3care16.blogspot.com,1,info resmi bpkibu hormat selamat no menang pesta isi ulang care no per undi tadi malam pkl sctv uinfo hadiah klik wwwcareblogspotcom
INFO RESMI kepada/bpk/ibu yang terhormat SELAMAT No ANDA Pemenang ke 2dari pesta isi ulang 3care. No PIN:25e477r di undi tadi malam pkl 22:30 di SCTV U/info hadiah anda klik Www.tricare16.blogspot.com,1,info resmi kepadabpkibu hormat selamat no menang pesta isi ulang care no per undi tadi malam pkl sctv uinfo hadiah klik wwwtricareblogspotcom
"INFO RESMI PT.INDOFOOD No.Anda t'dftr pemenang UNDIAN POP MIE edisi 2013 Mndptkn 1unit ""NISSAN JUKE"" PIN;a1c5h79 info,kunjungi;www.popmieget.webs.com",1,info resmi ptindofood noanda tdftr menang undi pop mie edisi mndptkn unit nissan juke pinach infokunjungiwwwpopmiegetwebscom
INFO RESMI PT.INDOFOOD slmt No.anda T.dftar pmnang ke2.POP MIE 2013 Meraih HADIAH 1 Unit 'NISSAN JUKE' dgn pin;12xb9v2 U/info kunjungi www.popmie200.webs.com,1,info resmi ptindofood slmt noanda tdftar pmnang pop mie raih hadiah unit nissan juke dgn pinxbv uinfo kunjung wwwpopmiewebscom
INFO RESMI PT.TRI CARE PIN Pemenang ( 8jf2177 ) anda m-dptkan HADIAH I unit TOYOTA YARIS U/Info cek pin klik: www.tricare2015.blogspot.com,1,info resmi pttri care pin menang jf mdptkan hadiah unit toyota yaris uinfo cek pin klik wwwtricareblogspotcom
Info resmi pt.tri care pin pemenang (8jf2177)  Simcard anda resmi mendapatkan hadiah 1 unit toyota yaris dari no 08968594××××,1,info resmi pttri care pin menang jf simcard resmi dapat hadiah unit toyota yaris no 
INFO RESMI PT.TRI.3 SimCard anda Resmi M-dptkan Hadiah MOBIL MAZDA-2 KODE PIN: E2747MLB Info Hub: 08996913677 KLIK: www.inforesmi3care.com,1,info resmi pttri simcard resmi mdptkan hadiah mobil mazda kode pin emlb info hub klik wwwinforesmicarecom
INFO RESMI SELAMAT!!! NO simCARD Anda Men_dptkn Uang Tunai Rp 45jt. Dr PT.INDOSAT PIN(TBL48VG) info Hub: 085694961118 A/u klik www.indosat-info2013.jimdo.com,1,info resmi selamat no simcard mendptkn uang tunai rp jt dr ptindosat pintblvg info hub au klik wwwindosatinfojimdocom
INFO RESMI Tri Care SELAMAT Nomor Anda terpilih mendapatkan Hadiah 1 Unit MOBIL Dri Tri Care Dengan PIN Pemenang: br25h99 info: www.gebeyar-3care.tk,1,info resmi tri care selamat nomor pilih dapat hadiah unit mobil dri tri care pin menang brh info wwwgebeyarcaretk
"INFO RESMI: PT.INDOFOOD Selamat Anda M-DPT MOBIL NISSAN JUKE, Kejutan Pop Mie. PIN:2F5C4D7 HUBUNGI:085715023547 DRS.H.NALDISUPARMAN www.gebyarpopmie40.webs.com",1,info resmi ptindofood selamat mdpt mobil nissan juke kejut pop mie pinfcd hubung drshnaldisuparman wwwgebyarpopmiewebscom
"INFO. DANA TUNAI TANPA JAMINAN 20 - 250 JUTA, BUNGA 1,50%, SYARAT PEMILIK KARTU KREDIT PROSES 3 HARI KERJA CALL. FIRLI 021 93417219",1,info dana tunai jamin juta bunga syarat milik kartu kredit proses hari kerja call firli
"INFO. pinjaman tanpa agunan 10 - 150 jt, Standart Chartered Bank syarat copy KTP, copy kartu kredit, RESMI, MINAT hub : akbar > 021 98391114 / 085714664427 , trimksh.",1,info pinjam agun jt standart chartered bank syarat copy ktp copy kartu kredit resmi minat hub akbar trimksh
"INFO:jk anda mau jual Rmh,tanah,mobil,produk/jasa dll PROMOSIKAN sj dg SMS MASSAL biasa hny Rp. 50.000untuk sebar ke10.000 no HP(2jam) hub: 0877399155579 jogja",1,infojk mau jual rmhtanahmobilprodukjasa promosi sj dg sms massal biasa hny rp sebar no hpjam hub jogja
"Ingin Tahu Angka Jitu! Yg Keluar Putaran Pada Hari ini 20/01/2013 Hubungi : 082-335555-454. mbah TOGEL semarang ""Jamin 100% Tembus"" Raja SHIO (Buka 24 Jam)",1,tahu angka jitu yg keluar putar hari hubung mbah togel semarang jamin tembus raja shio buka jam
"Ini bpk pnjam hp orng, tlng bliin bpk pls 50rb, krm ke nomr brunya bpk=081215008228, bpk lagi ada msalh di kantor polisi, jgn tlp/sms nnti bpk yg tlp, penting",1,bpk pnjam hp orng tlng bliin bpk pls rb krm nomr brunya bpk bpk msalh kantor polisi jgn tlpsms nnti bpk yg tlp penting
"Ini bpk tolong belikan dulu pulsa 20ribu di no barunya bpk karna lagi ada masalah di kantor polisi dan jangan dulu tlp/sms nanti bpk yg tlp, penting.",1,bpk belikan dulu pulsa ribu no baru bpk karna masalah kantor polisi jangan dulu tlpsms bpk yg tlp penting
Ini no rekeningnya BRI.A/n.A.SRI NARTI NO.rek.2219-01-001948-50-7.,1,no rekening brianasri narti norek
"ini nomor baru papa, tolong kirimin pulsa 50.000 ke nomor baru papa 085687329010. Papa lagi di kantor polisi, ada masalah. Jangan telepon Papa.",1,nomor baru papa kirimin pulsa nomor baru papa papa kantor polisi masalah jangan telepon papa
Ini nomor rekeningnya: 5829-01-012786-534. BRI a/n Andika Septiana.,1,nomor rekening bri an andika septiana
ini rekeningnya bank bri.no/rek.018801.006474.53.2.a/n:IR MAYANI,1,rekening bank brinorekanir mayani
Ini Rekeningnya BANK MANDIRI. NO.Rek:150-00-1002402-2.A/n: MURTIANI,1,rekening bank mandiri norekan murtiani
Ini Rekeningnya BRI. Rek: 0881-1010-3433-4506 A/n.RASTO MURDOYO.,1,rekening bri rek anrasto murdoyo
Ini rekeningnya mandiri : 900-00-1037951-0 a.n reza prasetya,1,rekening mandiri an reza prasetya
Ini Rekeningnya. bank MANDIRI. a/n: ALI SYAMSUDIN. rek: 136-001-198-6939,1,rekening bank mandiri an ali syamsudin rek
"Ini, Rekeningnya. Bank BNI No.rek.0277285682 A/n.WAHYUDI ALAMSYAH sms klo sudah dikirim",1,rekening bank bni norek anwahyudi alamsyah sms klo kirim
"ISI PULSA lebih untung di MYVPLUS! selain dpt PULSA kamu bisa lsg dpt voucher diskon, dpt hadiah dan juga dpt point. Yuk klik : http://bit.ly/Myvplus",1,isi pulsa lebih untung myvplus dpt pulsa kamu lsg dpt voucher diskon dpt hadiah dpt point yuk klik httpbitlymyvplus
Isi ulang Pulsa Rp.5000 regular oleh HD COM 4 SUKSES pada 09/02 12:34.Ref:763179369.GRATIS PULSA sd 250rb hg 7Hr 7Mlm.Ktk:GRATIS krm ke 123,1,isi ulang pulsa rp regular hd com sukses refgratis pulsa sd rb hg hr mlmktkgratis krm
Isi ulang Pulsa Rp.5000 Regular oleh PUTERA SUKSES pada 11/02 19:57.Ref:78330280.GRATIS PULSA sd 250rb hg 7Hr 7Mlm.Ktk:GRATIS krm ke 123,1,isi ulang pulsa rp regular putera sukses refgratis pulsa sd rb hg hr mlmktkgratis krm
Jika anda butuh ANGKA jitu GAIB 2D_3D_4D_SGP Yang dijamin 99% tembus. Silahkan SMS 085337807887 MASTERTOGEL,1,butuh angka jitu gaib dddsgp jamin tembus silah sms mastertogel
"Kak, kirimkan dulu pulsa25rb di no baruku ini 085377771822",1,kak kirim dulu pulsarb no baru
"Kami dr Ktr INDOSAT sdh hub nmr anda tp tdk trsambung,jd kami krm SMS bhw no anda mendpt mobil JAGUAR PIN;d377hi8 info www.kejutanindosat-plusplus.weebly.com",1,dr ktr indosat sdh hub nmr tp tdk trsambungjd krm sms bhw no mendpt mobil jaguar pindhi info wwwkejutanindosatplusplusweeblycom
Kami sdh mnghubungi tdk trsambung SIM CARD anda mendapatkan hadiah ketiga dri PT.AXIS pin [02399877] Klik  www.hadiah-ptaxis.blogspot.co.id,1,sdh mnghubungi tdk trsambung sim card dapat hadiah tiga dri ptaxis pin klik wwwhadiahptaxisblogspotcoid
"Kejutan POIN, hadian Rp 15 jt resmi diberikan untuk pemilik nomor 0812330xxxx. PIN-x7af2547. Untuk Info Kantor Pusat TELKOMSEL 021-23867047, 021-23867048.",1,kejut poin hadian rp jt resmi beri milik nomor xxxx pinxaf info kantor pusat telkomsel
"Kemudahan dan Keamanan bisnis TOGEL kini Berbentuk online, Bergabung dan raih keberuntungan anda di www.brotogel6.com Satu-satunya situs togel online terpercaya",1,mudah aman bisnis togel kini bentuk online gabung raih untung wwwbrotogelcom satusatunya situs togel online percaya
Kepada yth bpk/ibu pelanggan tri saya sumargani dr OPERATOR tri plaza semanggi lt1 jl jend sudirman kav50 jkt pst kirim sms krn nmr anda sulit saya hubungi dengan hal sebagai berikut nmr anda mendapat HADIAH dr promo undian 2013 HADIAH KE4 SUZUKI ERTIGA PIN ANDA:7t899b3 info.www.promotri2013.jimdo.com,1,yth bpkibu langgan tri sumargani dr operator tri plaza semanggi lt jl jend sudirman kav jkt pst kirim sms krn nmr sulit hubung ikut nmr dapat hadiah dr promo undi hadiah suzuki ertiga pin andatb infowwwpromotrijimdocom
Keputusan resmi 3care selamat No.anda Terpilih M'dpt Tabungan Rp.35jt Pin:M902CX8J info kelik www.programisiulang3care.tk ,1,putus resmi care selamat noanda pilih mdpt tabung rpjt pinmcxj info kelik wwwprogramisiulangcaretk
